period,flow,sector,hs6,primaryValue,quantity_kg
2020,Import,aluminum_76,760421,39585711,6937726
2020,Import,aluminum_76,760429,67736363,10953038
2020,Import,aluminum_76,760511,241663,55054
2020,Import,aluminum_76,760519,3769882,1142536
2020,Import,aluminum_76,760521,10225886,3319303
2020,Import,aluminum_76,760529,1559264,372286
2020,Import,aluminum_76,760611,21069375,3958261
2020,Import,aluminum_76,760612,500315489,151954842
2020,Import,aluminum_76,760691,47805950,13667121
2020,Import,aluminum_76,760692,21152589,6123903
2020,Import,aluminum_76,760711,176153177,52949526
2020,Import,aluminum_76,760719,44127184,4962208
2020,Import,aluminum_76,760720,117481302,11366050
2020,Import,aluminum_76,760810,496277,29541
2020,Import,aluminum_76,760820,27399933,2485746
2020,Import,aluminum_76,760900,8891573,397687
2020,Import,aluminum_76,761010,98213426,9449309
2020,Import,aluminum_76,761100,10889975,1045734
2020,Import,aluminum_76,761210,8251852,581608
2020,Import,aluminum_76,761290,70719216,8354831
2020,Import,aluminum_76,761300,3884986,194641
2020,Import,aluminum_76,761410,454002,15272
2020,Import,aluminum_76,761490,4175774,995154
2020,Import,aluminum_76,761610,17739361,494048
2020,Import,aluminum_76,761691,827335,46738
2020,Import,aluminum_76,761699,183930195,9466813
2020,Import,cement_2523,250700,2076793,3785953
2020,Import,cement_2523,252310,30416146,87965960
2020,Import,cement_2523,252321,23255441,203403368
2020,Import,cement_2523,252329,76039335,1759459466
2020,Import,cement_2523,252330,20538936,34825112
2020,Import,cement_2523,252390,364991,876657
2020,Import,fertilizers,280800,223381,207258
2020,Import,fertilizers,281410,82798,209000
2020,Import,fertilizers,281420,2912498,86132
2020,Import,fertilizers,283421,6194025,20691079
2020,Import,fertilizers,310210,28785670,121412351
2020,Import,fertilizers,310221,38157272,233689041
2020,Import,fertilizers,310229,31302,12033
2020,Import,fertilizers,310230,1609670,691316
2020,Import,fertilizers,310240,2783551,7541129
2020,Import,fertilizers,310250,2567182,3675735
2020,Import,fertilizers,310260,328004,68799
2020,Import,fertilizers,310280,5220530,42347578
2020,Import,fertilizers,310290,19424018,67149778
2020,Import,fertilizers,310510,15317506,5755532
2020,Import,fertilizers,310520,14617686,25398894
2020,Import,fertilizers,310530,5112741,4533809
2020,Import,fertilizers,310540,24408235,62565944
2020,Import,fertilizers,310551,385276,237659
2020,Import,fertilizers,310559,23655640,81444411
2020,Import,fertilizers,310590,15721412,10846602
2020,Import,iron_steel_72,260112,94610564,793221470
2020,Import,iron_steel_72,720110,19998532,55607243
2020,Import,iron_steel_72,720150,294612,256254
2020,Import,iron_steel_72,720211,861251,749860
2020,Import,iron_steel_72,720241,82430631,69737831
2020,Import,iron_steel_72,720260,17735,1374
2020,Import,iron_steel_72,720310,143976,241534
2020,Import,iron_steel_72,720390,748913,887639
2020,Import,iron_steel_72,720510,6071682,1647196
2020,Import,iron_steel_72,720521,29381201,21067650
2020,Import,iron_steel_72,720529,19442716,5986543
2020,Import,iron_steel_72,720610,5340,5730
2020,Import,iron_steel_72,720810,14792384,21077530
2020,Import,iron_steel_72,720825,1253085,2224970
2020,Import,iron_steel_72,720826,3290039,5829170
2020,Import,iron_steel_72,720827,10799682,18838447
2020,Import,iron_steel_72,720836,485319,854005
2020,Import,iron_steel_72,720837,4552320,8548014
2020,Import,iron_steel_72,720838,408492,684311
